domain,category,last_pos,length_tokens,prompt
book,PUNCT,PUNCT,16,I grabbed one of the bubbly glasses of champagne bobbing around the rooms on gold-
book,PUNCT,PUNCT,17,"Andre was laughing, Claudette was gushing, and Lecie was declaring Camille's sentiments as,"
book,PUNCT,PUNCT,19,"Now Ginny's odd idiosyncrasies during the past few months, and especially the last couple of weeks,"
book,PUNCT,PUNCT,16,"Quin headed off to the kitchen to make coffee and Nicole turned to Evita Gallardo,"
book,PUNCT,PUNCT,16,All you've done since arriving at your grandfather's home the other night...
book,PUNCT,PUNCT,17,"Preferring not to be connected to the driver of the BMW, he removed his cap,"
book,PUNCT,PUNCT,20,Sally could hardly believe it was a real Monet -one of the great artist's paintings of waterlilies-
book,PUNCT,PUNCT,17,Having worked the past three months with Lynda Twiggley whose pr agency organised events for a-
book,PUNCT,PUNCT,16,The rest of the furnishings came on Thursday: beautiful gold and ivory table lamps;
book,PUNCT,PUNCT,16,"I look away from the stage and see Billie go up to Lana and Blake,"
book,ADP+PART,ADP,16,"Before Alea could answer, Kalil appeared in the doorway dressed in a dark suit with"
book,ADP+PART,ADP,16,Jake shifted to join Hannah where she leaned against the headboard and drew the covers up
book,ADP+PART,PART,16,I'll be able to find just the right place for you if you don't
book,ADP+PART,ADP,16,"When I make love to you, I want a bed and absolute privacy along with"
book,ADP+PART,PART,16,"I knew I sounded defensive, but for the life of me, I couldn't"
book,ADP+PART,ADP,16,"The ring was in my pocket, like a beacon and symbol for the rest of"
book,ADP+PART,ADP,16,"After slipping on my jewelry, I hopped down the stairs, trying to focus on"
book,ADP+PART,ADP,16,Soon after the sun slid behind the horizon rock drove back to Paradise island and to
book,ADP+PART,ADP,16,"Each thrust filled me with pleasure, my pu**y trying to take more and more of"
book,ADP+PART,ADP,16,"Although Jade had excitedly explained the progress in the other rooms, Angelo looked down at"
book,ADP+PART,ADP,17,"Somehow, the exercise didn't work as well with Gaston standing on the other side of"
book,ADP+PART,ADP,17,No wonder Alicia and Joe were such a powerful couple and had risen to such heights within
book,ADP+PART,ADP,18,"Celsius was tonight's star, but the group had chosen to perform as the opening act for"
book,ADP+PART,PART,16,"Ten minutes after leaving ellen's studio, Saffi was helplessly trying to dodge Staffan's"
book,ADP+PART,ADP,17,"We met halfway, and Constantijin's arm immediately curved around my waist, the possessiveness in"
book,ADP+PART,ADP,17,I'll text you later this week-maybe you'll be in a better frame of
book,ADP+PART,ADP,16,"Condoms, lube, and every other contraceptive device known to man and woman were on"
book,ADP+PART,ADP,16,The blue walls boasted dark yellow molding that ran around the circumference of the room at
book,ADP+PART,ADP,16,Every window sported a view of the surrounding forest and the deep ravine that tracked off
book,ADP+PART,ADP,17,Like a hypnotic state of nonsensical merry-go-round of emotions with no chance in
book,VERB,VERB,16,Remember that picture you took of me sleeping in your bed-the one I put
book,VERB,VERB,16,"We'll serve Morgan's wines at all our dinners, and our guests can tour"
book,VERB,VERB,16,"Without another word, Jocelyn pulled sophie along to the stairs where the two women talked"
book,VERB,VERB,16,Curled up on my bed with a bottle of Tequila had made it easy to forget
book,VERB,VERB,16,The cops didn't think Natalie had the ability to run surveillance or had anyone working
book,VERB,VERB,16,Who would have known that such a tiny child would have the gray matter to plan
book,VERB,VERB,16,"My screams of joy must have echoed through the whole house, and I could tell"
book,VERB,VERB,16,Our teeth clicked together because we were both smiling so broadly that we couldn't stop
book,VERB,VERB,17,"As soon as the last horse was guided into place, the front of the chutes flew"
book,VERB,VERB,16,"With this company, you and your family, including your father, will never have"
book,VERB,VERB,16,I wish I could have gone to college and done something different instead of being baked
book,VERB,VERB,16,"Sam took a sip of wine before answering, trying to figure out how to define"
book,VERB,VERB,16,I wasn't brought up like you or the other women you've been escorting
book,VERB,VERB,16,All the attendants had keys to the bathrooms in case of an emergency and rashid considered
book,VERB,VERB,16,"On one side, the black-glass buffet table was illuminated from below, making"
book,VERB,VERB,16,"I had never been a limelight-hogger, but that didn't mean I sucked"
book,VERB,VERB,16,"Conscious of the wide-eyed stare from the cashier, I snapped my mouth shut"
book,VERB,VERB,16,Bella's gone out of town for the next couple of days and needs to concentrate
book,VERB,VERB,17,"The man had an uncanny way of pegging people, and Logan didn't want to attract"
book,VERB,VERB,16,"Furniture and clothes were newly purchased and non-descript, which wasn't surprising considering"
book,DET,DET,16,"You"" ll have to make sure to save some time for me once in a"
book,DET,DET,16,"There wasn't much inside yet, but thankfully there was a comfortable bed with a"
book,DET,DET,16,"Ethan Cruz said, hauling a pile of folding chairs for the wedding out of the"
book,DET,DET,16,In the general confusion of climbing down from the corral fence and heading back to the
book,DET,DET,16,"Cab asked tracey as he settled in a booth at Linda's diner, sending a"
book,DET,DET,16,"Bella had left the office for an hour to visit more housing possibilities, but that"
book,DET,DET,16,"When Fila entered the cruz big house with Ned later that night, most of the"
book,DET,DET,16,The babies started waking up and demanding to be fed so Elissa and Veronica spent the
book,DET,DET,16,Epilogue the wedding of duke and suave Davidoff was the talk of the town and the
book,DET,DET,16,Songs would be written about this moment and scholars would look back and say that this
book,DET,DET,16,"Then, before Heather's eyes, the woman turned from a doting grandmother into a"
book,DET,DET,16,"I can't believe my grandfather's house is gone..."" emily looked at the"
book,DET,DET,16,"Nancy, emma and Jason all stared at the driver who looked from one to the"
book,DET,DET,16,"When the ballet let out, several of Max's friends met them outside in the"
book,DET,DET,16,Not even carpeting since the enormous room was done in shiny hardwood that beautifully reflected the
book,DET,DET,16,The man was a born leader with a decisive personality and the intelligence to absorb a
book,DET,DET,16,"Gabriel had never had such a quiet meal with a date, and not just any"
book,DET,DET,17,"Instead, I opted to nurse a snifter of cognac and stared at the view of the"
book,DET,DET,21,The possibilities seemed endless-I had outsmarted the criminal defense lawyer who I used to look up to with a
book,DET,DET,18,"Lecie rattled it off and Tasha relayed it to the caller, then ended the call with an"
book,ADJ,ADJ,16,"Yours was the only marriage I'd witnessed and at the time, I was afraid"
book,ADJ,ADJ,16,I can make people goo-goo about the tulips in the spring and the various
book,ADJ,ADJ,16,"One week and several different avoidance tactics later, I was still dealing with my horrible"
book,ADJ,ADJ,16,"Luckily, probably startled by the commotion, some birds in the bushes at the other"
book,ADJ,ADJ,16,"There was the disastrous purchase of rapid films, the incident with Zena, the desperate"
book,ADJ,ADJ,16,"Instead, the walls were a softly elegant shade of ivory accentuated by wainscoting of deep"
book,ADJ,ADJ,16,"I was having the most amazing dream, and you woke me right at the interesting"
book,ADJ,ADJ,16,That you think all the other people who needed a portion of your time were higher
book,ADJ,ADJ,16,"The fifteen members discussed cultural differences that might impact different programs, gender problems, legal"
book,ADJ,ADJ,16,"I'd wager that I know more about these stores than anyone, including the present"
book,ADJ,ADJ,16,"Make you appear unworthy, incapable of fulfilling the position my wife would assume in european"
book,ADJ,ADJ,18,I love you so much I can hardly bear to be parted from you even for a little
book,ADJ,ADJ,20,"Particularly the bride and groom, who behaved as though the sun and the stars shone out of each other"
book,ADJ,ADJ,17,This baby was shockingly tiny and all swaddled up like a miniature egyptian mummy in a blue
book,ADJ,ADJ,21,"When Jesse kissed her, Bella was swept away by the magic of the moment and the heat and the delirious"
book,ADJ,ADJ,20,"You said yourself you wanted to be a mother, that's why you didn't wait for a perfect"
book,ADJ,ADJ,17,The dozen or so people who had worked so hard stood in a circle congratulating each other
book,ADJ,ADJ,16,Which meant that the next two sex-less months were going to be even harder
book,ADJ,ADJ,17,"Surrendering to the inevitable, rose dug in the bag for a doughnut, took a healthy"
book,ADJ,ADJ,22,"Teresa took a seat in the narrow, nearly empty lobby, ignored the small television on the wall playing an old"
book,PRON,PRON,16,"Lightning danced across the sky, blue and green and full of venom, but I"
book,PRON,PRON,16,"To touch things that were little windows into the souls of painters, to hold something"
book,PRON,PRON,16,"My mother is originally from Sardinia, so I went there for summer holidays while my"
book,PRON,PRON,16,"The rich caramel leather seats on the jet were so soft and beautiful, and there"
book,PRON,PRON,16,I know that you're sweet and tender and you put yourself out there for anyone
book,PRON,PRON,16,"Noise filled the hall once more, most of which misty didn't understand because everyone"
book,PRON,PRON,16,A happy sexually satisfied staffan aehrenthal was a much easier employer to serve than someone who
book,PRON,PRON,16,"The knowledge that I was the cause of that happiness made me giddy, and I"
book,PRON,PRON,16,Christian suddenly remembered a little tidbit zoe'd inadvertently let slip out about Luke and his
book,PRON,PRON,16,Moments later a second cry filled the room accompanying the cries of the first baby that
book,PRON,PRON,16,"The only person I usually confide in was toby, but recent events had left my"
book,PRON,PRON,16,My bare shoulders shivered from the freezing wind that rushed over the icy water and my
book,PRON,PRON,24,Emily did not want to get out of the small outboard motorboat and climb up the ladder to the deck of a cruiser that
book,PRON,PRON,17,Which is also why I used the key you gave me to enter this house when there
book,PRON,PRON,16,"Out of spite, I should think, after the removalists had left to transport your"
book,PRON,PRON,16,"Perhaps you'd be good enough to deal with the disturbance, settle the interest that"
book,PRON,PRON,18,"I'm going to tell you something, then return to the wedding party and leave you"
book,PRON,PRON,17,The man at the reception desk greeted Ari enthusiastically and escorted them to a suite on what
book,PRON,PRON,17,"Billie goes to see her girlfriend three, no actually, four nights a week and I"
book,PRON,PRON,16,"Now, quit fretting over things you don't need to worry about and give me"
book,AUX,AUX,16,"Stuck with an empty mansion full of expensive furnishings, Carl needed a tenant he could"
book,AUX,AUX,16,"Edna was leaving, which meant that Nancy, Jonathan and even her mother would be"
book,AUX,AUX,16,"Add in perfect porcelain skin, legs that stretched into infinity and a waist that was"
book,AUX,AUX,16,"On previous nights had been soft and comfortable, the pink bow on the neckline was"
book,AUX,AUX,16,"Edward saw her and bent down low, so the kiss that had meant to be"
book,AUX,AUX,16,Laci only pointed out how excited I was about traveling and wondered if maybe I was
book,AUX,AUX,16,Prologue six years ago the wail of a police siren destroyed the silence in what was
book,AUX,AUX,17,"Once Simon Cabot made up his mind about something, nothing less than a nuclear strike would"
book,AUX,AUX,16,"A fifty-million dollar trust fund for Juliana, and any other children camille might"
book,AUX,AUX,16,Ten years ago a dreadful storm blew up during one of those races and hugh was
book,AUX,AUX,16,"I lean against the desk, hating myself, but unable to stop-nothing is"
book,AUX,AUX,20,"The entire planet-land, air and sea-has been poisoned by sheer greed, your food is"
book,AUX,AUX,18,I listen out for the unspoiled new voice and realize that all the other voices seem to have
book,AUX,AUX,16,The bed was wide and high and covered in a luxurious white silk duvet that had
book,AUX,AUX,19,"Light faded from the sky, the heavy clouds dropped even lower, and the flurries of snow were"
book,AUX,AUX,21,I'm happy to listen to whatever your complaints might be after you rent me a room so I can
book,AUX,AUX,21,"Even here, surrounded by the dozens of people still on the beach as the sun began setting, griffin was"
book,AUX,AUX,16,"The twins were babbling happily to each other and for the first time, penny did"
book,AUX,AUX,16,The police had never been able to pin a crime on the corettis and Rico had
book,AUX,AUX,19,"Our Arik is-""godfrey broke off as royce, who'd been watching Jennifer, thinking she'd"
book,CCONJ+SCONJ,SCONJ,16,"As much of a bastard as I am, the thought of pursuing one woman while"
book,CCONJ+SCONJ,CCONJ,16,"For about a week, a handful of photographers waited around outside the gate, but"
book,CCONJ+SCONJ,SCONJ,16,"Playing out in the sunshine, running along the green grass with rover and boy while"
book,CCONJ+SCONJ,CCONJ,16,The enormous house was set up high on the cliff looking out to the ocean and
book,CCONJ+SCONJ,CCONJ,16,A question that still made me feel uncomfortable to the point of wanting to leave and
book,CCONJ+SCONJ,SCONJ,16,Still holding Kylie with one arm pierce walked up the driveway and up the steps until
book,CCONJ+SCONJ,CCONJ,16,"As if taking the soft sound as invitation, Rafe's tentative touch became bolder and"
book,CCONJ+SCONJ,SCONJ,16,Mr. Hayes ' voice wafted through the high windows and asked the same question that
book,CCONJ+SCONJ,CCONJ,16,Jack's stomach twisted with oily nausea as brandy touched the scummy lawyer's arm and
book,CCONJ+SCONJ,CCONJ,16,I would never be able to wear that red dress without being incredibly self conscious and
book,CCONJ+SCONJ,SCONJ,16,"Eva sat back in her office chair, no longer cringing at the metallic squeak as"
book,CCONJ+SCONJ,SCONJ,16,"Father of the year was not in the future for Joseph Berutelli, she thought as"
book,CCONJ+SCONJ,CCONJ,16,"Only Zarah noticed the exchange since Sidra and rashid were busy with the photographer, and"
book,CCONJ+SCONJ,CCONJ,16,Obviously there was some sort of monitor in the car that automatically opened the gates and
book,CCONJ+SCONJ,SCONJ,16,Velvet's breath caught in a mixture of helpless excitement and terror of the unknown as
book,CCONJ+SCONJ,CCONJ,17,"Sasha jogged down the formerly grand staircase, dodged a lazy blackbeard sunning in the foyer and"
book,CCONJ+SCONJ,CCONJ,16,"The estate was beautiful, something out of a fairy tale, with flowering trees and"
book,CCONJ+SCONJ,SCONJ,17,"Dad got up, guiding me outside, out in our lawn, holding my hand as"
book,CCONJ+SCONJ,SCONJ,16,"The feeling of being stabbed-the same kind of emotions rolled off me, as"
book,CCONJ+SCONJ,CCONJ,16,"Imagine a bunch of nerds gearing up for the weekend, hopped up on redbull and"
book,ADV,ADV,16,I went for a long drive to cool down but by the time I got back
book,ADV,ADV,16,"With a wild yell, some kid tries to swing on the crystal chandelier, only"
book,ADV,ADV,16,"Riley's family is distinctly working-class, and the trappings of wealth have never"
book,ADV,ADV,16,"I must admit, while I had been dry-humping jackson, I'd completely"
book,ADV,ADV,16,"Head down, golden slid into the passenger's seat and watched as reed walked around"
book,ADV,ADV,16,"Bubbling with excitement, Blake rushed from dressing table to vanity to bed and back again"
book,ADV,ADV,16,My only ambition is to raise money so these poor children can enjoy a day away
book,ADV,ADV,16,"Otherwise you have a bang on the head, and we'll keep you in overnight"
book,ADV,ADV,16,"By the following Saturday night, she dressed in a simple white gown that fell elegantly"
book,ADV,ADV,17,"Reaching the doorknob, I waltzed back to my bedroom with blake lying on my bed fully"
book,ADV,ADV,16,"My mouth blurted out a question I never intended to ask, but one that always"
book,ADV,ADV,23,"I dab perfume-potent and specially created for me-behind my ears, on the insides of my wrists and then"
book,ADV,ADV,18,Brazenly I flip my skirt up towards my waist and present myself with my bare ass pushed high
book,ADV,ADV,17,"Hell, I tried to drag you into my old life, thinking that having you temporarily"
book,ADV,ADV,17,The fact that Eugenia was even now talking to rose doherty in a voice that carried clear
book,ADV,ADV,17,The furious man who'd stormed into colt's office only moments before took a step back
book,ADV,ADV,19,All we have is every day and the people we choose to spend our lives with-for however
book,ADV,ADV,19,"Whit-ney's beauty was a blossoming thing, a vividness of features and coloring that promised much"
book,ADV,ADV,21,"Of course, Stephen didn't want that sort of blessing, and Charise Lancaster wasn't likely to feel very"
book,ADV,ADV,17,"35 ""I feel like a guest in my own house,"" Stephen remarked ironically"
news,NOUN,NOUN,16,The much-coveted 23-year-old has been in excellent form this season
news,NOUN,NOUN,16,"Ella's series,""First and foremost I am,"" consists of 21 portraits"
news,NOUN,NOUN,16,Hear why there's controversy in the U.S. government over an upcoming speech by the leader
news,NOUN,NOUN,16,A Chilean miner stole the show at the World Pasty Championships by beating his Cornish competition
news,NOUN,NOUN,16,Two-thirds of the laws passed by Britain’s parliament over the past 22 years
news,NOUN,NOUN,16,A city in southern China has banned any new restaurants from making one of the region
news,NOUN,NOUN,16,"The pair were taken to the Royal London Hospital where Nick, a journalist and press"
news,NOUN,NOUN,16,A professor helping to identify 600 body parts belonging to the Germanwings crash victims said today
news,NOUN,NOUN,16,"Additionally, modern pot has very low levels of cannabidiol, or CBD, the compound"
news,NOUN,NOUN,16,Parents at Grey Coat Hospital School in Westminster have claimed they were asked for a payment
news,NOUN,NOUN,16,Boca Juniors striker Dani Osvaldo took team celebrations to a whole new level on Wednesday night
news,NOUN,NOUN,16,The lead guitarist of Black Sabbath has tried to appeal to the Indonesian president's love
news,NOUN,NOUN,16,A six-year-old girl was taken to hospital after drinking from a bottle
news,NOUN,NOUN,16,"Joey Poindexter, 40, (pictured) was convicted of sexually assaulting five young men"
news,NOUN,NOUN,16,Five people are confirmed dead and 25 more are missing and presumed dead after a shopping
news,NOUN,NOUN,16,"After supposedly inventing Mother's Day in his country four years ago, North Korean dictator"
news,NOUN,NOUN,16,Blackpool have signed winger Michael Jacobs from Wolves on loan until the end of the season
news,NOUN,NOUN,16,When Russian officials tried to trick the public by passing off old photos as new appearances
news,NOUN,NOUN,16,John Terry is going to cause Chelsea a huge problem in the future and the cost
news,NOUN,NOUN,17,The Blues restored their six-point lead over Manchester City with a 3-2 win
news,PROPN,PROPN,16,The live stream from what is believed to be the wreck of the World War II
news,PROPN,PROPN,16,"The slain officer, who was not immediately identified, was one of two Navajo Police"
news,PROPN,PROPN,16,These never-before-seen student photos of Susan obtained exclusively by Daily Mail Online
news,PROPN,PROPN,16,"Shown is a picture of Angelina Jolie, Maddox Chivan Jolie-Pitt and Brad Pitt"
news,PROPN,PROPN,16,"The woman, Melissa Higgins, is the director of the family day care centre Aussie"
news,PROPN,PROPN,16,"On last night's episode of the TLC obesity series My 600lbs Life, Laura Perez"
news,PROPN,PROPN,16,BT Sport have chosen to broadcast the FA Cup quarter-final replay between Blackburn
news,PROPN,PROPN,16,Slavisa Jokanovic affords himself a sneaky peak through the green mesh fence at Watford's London
news,PROPN,PROPN,17,Prosecutor Jolyon Perks told the court Pervical had started chatting to the victim over dating site Badoo
news,PROPN,PROPN,16,Police were called in to manage crowds and pacify irate commuters at one of Britain
news,PROPN,PROPN,16,The Paris Saint-Germain defender was recorded on the phone with UFC featherweight champion Aldo
news,PROPN,PROPN,17,Arsenal's fatigued talisman Alexis Sanchez failed to prevent Chile falling to a shock defeat by Iran
news,PROPN,PROPN,17,"Dili, East Timor (CNN) Stacey Addison, who says she was detained for months in East"
news,PROPN,PROPN,16,"The South Korean triumphed by two strokes from teen prodigy Lydia Ko, who took Park"
news,PROPN,PROPN,17,"Ashton Hughes was driving home from a doctor's appointment in Spartanburg, South Carolina on January"
news,PROPN,PROPN,17,In the clip a group of men can be seen riding horseback alongside a canal near Lockside
news,PROPN,PROPN,16,Jeremy Clarkson's replacement on Top Gear might not be too far away after Zenit
news,PROPN,PROPN,17,Scottish Premiership leaders Celtic remain on course for a domestic treble having defeated ten-men Dundee
news,PROPN,PROPN,17,Bradford City striker James Hanson boasts a rags-to-riches tale fit for any FA
news,PROPN,PROPN,16,The unnamed victim was reportedly leaning out of a fifth-floor unit at the Hanover
news,PUNCT,PUNCT,16,The citadel of Ait-Ben-Haddou in Morocco near Ouarzazate (pronounced Wa-
news,PUNCT,PUNCT,16,Britain’s top prosecutor was yesterday forced to deny conducting a ‘witch-hunt’
news,PUNCT,PUNCT,16,"Striking a Kim-like pose, this is Kit Kardashian the nine-year-"
news,PUNCT,PUNCT,16,"The Kevin Pietersen storyline is a good 'un, full of rage, intrigue and hypocrisy."
news,PUNCT,PUNCT,17,The surgery repaired a fracture to the zygomatic arch of the NBA star's right cheek.
news,PUNCT,PUNCT,16,Actress Laura Dern's toned shoulders look to be the result of much gym dedication.
news,PUNCT,PUNCT,17,"Mollie Guillaume, 87, is retired and lives in Chigwell, Essex with her sister,"
news,PUNCT,PUNCT,16,Gary Cahill has hinted Chelsea are feeling the pressure of the Premier League title run-
news,PUNCT,PUNCT,16,"Police are searching for the owners of a collection of gold and silver bullion,"
news,PUNCT,PUNCT,18,"Singapore remains the world’s most expensive city to live with sky-high prices for clothes,"
news,PUNCT,PUNCT,18,Taking over: Carole Middleton is to fill in while William and Kate find new household staff.
news,PUNCT,PUNCT,16,You could literally fry an egg on the tarmac at the Sepang circuit on Friday.
news,PUNCT,PUNCT,17,Kelly Jane Richards has been told she could face prison for having sex with a 15-
news,PUNCT,PUNCT,16,"Miss Sayle has been hosting the parties for the ‘sexual elite’ at secret,"
news,PUNCT,PUNCT,17,Britain's courts are ‘seriously weakening’ the fight against terrorism by ‘trotting along’
news,PUNCT,PUNCT,19,Michel Platini has backed Football Association chairman Greg Dyke's plan to increase the minimum number of home-
news,PUNCT,PUNCT,16,Randall Miller pleaded guilty to involuntary manslaughter and criminal trespass Monday morning in Wayne County (
news,PUNCT,PUNCT,17,Holidaymakers could be recruited alongside students and housewives to form an army of so-called ‘
news,PUNCT,PUNCT,16,At least 40 passengers have suffered injuries after an Amtrak train crashed into a tractor-
news,PUNCT,PUNCT,18,The dishes served at Amélies in Porthleven were designed and approved by the restaurant owner's six-
news,ADP+PART,ADP,16,Liverpool goalkeeper Simon Mignolet is a doubt for Belgium's internationals with Cyprus and Israel after
news,ADP+PART,ADP,16,"The video, seen by DailyMail.com, shows the apparently drunk man pull the animal from"
news,ADP+PART,PART,16,Steel structures of the new Main Stand are already starting to take shape with work to
news,ADP+PART,PART,16,A team of Norwegian researchers has identified two sets of genes that cause some creatures to
news,ADP+PART,ADP,16,The scene in the Gibraltar apartment where a British father was stabbed to death alongside
news,ADP+PART,ADP,16,Vladimir Putin honoured the man Scotland Yard believes poisoned dissident Alexander Litvinenko (pictured) with
news,ADP+PART,ADP,16,The 22-year-old has impressed in what has been a difficult season for
news,ADP+PART,ADP,16,An Illinois Army National Guard soldier vowed to bring 'the flames of war' to
news,ADP+PART,ADP,16,"For years, Nicklas Bendtner has unofficially held the title of Lord, albeit mostly in"
news,ADP+PART,ADP,16,"While Harry Kane was scoring on his debut for England, Alvaro Morata was scoring on"
news,ADP+PART,ADP,17,The United States held on for 1-1 draw with Switzerland in an international friendly on
news,ADP+PART,ADP,17,"The supporter, 44-year-old Nick Cruwys, was on his way to"
news,ADP+PART,ADP,17,James Milner scored Manchester City's second goal in Wednesday night's 2-0 win over
news,ADP+PART,PART,16,One Exeter University student did just that-ditching a degree in German and Philosophy to
news,ADP+PART,PART,16,Micro-pigs assuming the identities of race horses have been pitted against each other to
news,ADP+PART,ADP,16,"Teacher Jennifer Thompson, 52, failed to report a student who allegedly took moonshine to"
news,ADP+PART,ADP,17,Higher earners are to benefit from the first real terms rise in the 40p tax threshold for
news,ADP+PART,PART,16,The reality TV star and fashion designed attended the UK premiere party for E!'s
news,ADP+PART,ADP,16,"Pupils were also told to carry out searches of training areas, ranges and accommodation before"
news,ADP+PART,ADP,16,White House hopeful Ted Cruz says he's already received more than $1 million in
news,VERB,VERB,16,"WASHINGTON (CNN) During his upcoming speech to Congress, Israeli Prime Minister Benjamin Netanyahu will lay"
news,VERB,VERB,16,"Dr Hilary Cass, president of the Royal College of Paediatrics and Child Health which commissioned"
news,VERB,VERB,16,"Die Welt, a German newspaper, cited an unidentified senior investigator who said Lubitz suffered"
news,VERB,VERB,16,When Louis van Gaal has time between figuring out the Angel di Maria conundrum and plotting
news,VERB,VERB,16,Police say a woman in an SUV followed the mother of Eliza Delacruz as she rode
news,VERB,VERB,16,George North should be stopped from playing rugby until the World Cup in September after suffering
news,VERB,VERB,16,Kathryn had made enough of a recovery to walk down the aisle in 2012 to tie
news,VERB,VERB,16,More than 50 drunk teenagers trashed a family home after spotting a Facebook post which said
news,VERB,VERB,16,At issue was a taped audio interview with Christopher Cornell and whether the station could broadcast
news,VERB,VERB,16,Arsenal manager Arsene Wenger believes his side cannot expect to just defend deep and look
news,VERB,VERB,16,The world's oldest pretzel has been discovered by archaeologists in Germany-and has lost
news,VERB,VERB,16,Arsene Wenger had raised fears on the eve of the game and as the downpour continued
news,VERB,VERB,17,Ajax manager Frank de Boer wants to emulate the way Arsenal play as the Dutch club bid
news,VERB,VERB,16,Barcelona manager Luis Enrique has asked the club to sign Atletico Madrid midfielder Koke to replace
